"","Brand_Description","Price","Review_Count","Rating"
"1"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  YaCaTaM Sewing Kit, Sewing Kit Basic with Sewing Needles, Sewing Pins, Sewing Clips, Sewing Thread, Sewing Scissors, Sewing Supplies, Sewing Products for Adults, Beginners, Home, Travel (Small)  4.2 out of 5 stars 7  $9.96$9.9615% coupon applied at checkoutSave 15%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","9.","7","4.2 out of 5 stars"
"2"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  MOOACE 54 Spools Thread Rack Set of 2, Metal Thread Holder Organizer with Hanging Hooks for Embroidery Quilting and Sewing Threads, Brown  4.9 out of 5 stars 42  50+ bought in past month$25.99$25.9910% coupon applied at checkoutSave 10%  with coupon Delivery Wed, Feb 7 to Philippines ","25.","42","4.9 out of 5 stars"
"3"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  32 Spools Thread Rack Wall-Mounted 2 Pack, Spool Holder with Hanging Hooks, Metal Serger Thread Storage for Sewing Craft Room, Embroidery Thread,  4.7 out of 5 stars 26  50+ bought in past month$22.99$22.99Save 5% on 2 select item(s)Delivery Wed, Feb 7 to Philippines ","22.","26","4.7 out of 5 stars"
"4"," GDMINLO Soft Tape Measure Double Scale Body Sewing Flexible Ruler for Weight Loss Medical Measurement Tailor Craft Vinyl Ruler, Has Centimetre on Reverse Side 60-inch（White）  4.8 out of 5 stars 59,978  30K+ bought in past month$3.59$3.59 List: $8.88$8.88Delivery Wed, Feb 7 to Philippines ","3.","59,978","4.8 out of 5 stars"
"5"," Coquimbo Sewing Kit Gifts for Grandma, Mom, Friend, Adults Beginner Kids Traveler, Portable Sewing Supplies Accessories with Case Contains Thread, Needle, Scissors, Measure Tape, Thimble etc(Black, M)  4.6 out of 5 stars 11,731  10K+ bought in past month$7.99$7.99 List: $9.99$9.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","7.","11,731","4.6 out of 5 stars"
"6"," JUNING Sewing Kit with Case Portable Sewing Supplies for Home Traveler, Adults, Beginner, Emergency, Kids Contains Thread, Scissors, Needles, Measure etc  4.6 out of 5 stars 21,456  10K+ bought in past month$7.99$7.99 Typical: $8.99$8.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","7.","21,456","4.6 out of 5 stars"
"7"," Cricut StandardGrip Machine Cutting Mats 12in x 12in, Reusable for Crafts with Protective Film,Use with Cardstock, Iron On, Vinyl and More, Compatible with Cricut Explore & Maker (2 Count) ,Green  Options:2 sizes4.9 out of 5 stars 36,838  10K+ bought in past month$6.49$6.49Delivery Wed, Feb 7 to Philippines ","6.","36,838","4.9 out of 5 stars"
"8"," HeatnBond Hem Iron-On Adhesive, Super Weight, 3/4 Inch x 8 Yards, White  4.4 out of 5 stars 23,092  10K+ bought in past month$2.17$2.17 ($0.09$0.09/Foot)Delivery Wed, Feb 7 to Philippines ","2.","23,092","4.4 out of 5 stars"
"9"," Fairfield The Original Poly-Fil, Premium Polyester Fiber Fill, Soft Pillow Stuffing, Stuffing for Stuffed Animals, Toys, Cloud Decorations, and More, Machine-Washable Poly-Fil Fiber Fill, 32-ounce Bag  4.8 out of 5 stars 19,229  6K+ bought in past month$20.97$20.97Delivery Thu, Feb 8 to Philippines ","20.","19,229","4.8 out of 5 stars"
"10"," Melsan 1x4 inch Hook and Loop Strips with Adhesive - 15 Sets, Strong Back Adhesive Fasten Mounting Tape for Home or Office Use - Instead of Holes and Screws, Black  4.5 out of 5 stars 14,158  10K+ bought in past month$9.90$9.90 List: $12.99$12.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsPrice may vary by color","9.","14,158","4.5 out of 5 stars"
"11"," Fairfield The Original Poly-Fil, Premium Polyester Fiber Fill, Soft Pillow Stuffing, Stuffing for Stuffed Animals, Toys, Cloud Decorations, and More, Machine-Washable Poly-Fil Fiber Fill, 5 lbs. Box  4.8 out of 5 stars 24,657  8K+ bought in past month$22.75$22.75$2.76 coupon applied at checkoutSave $2.76  with coupon Delivery Wed, Feb 7 to Philippines More Buying Choices$22.00(8 new offers)","22.","24,657","4.8 out of 5 stars"
"12"," Art3d 16 Sets Interlocking Tape Sewing Fasteners, Hook and Loop Tape Sticky Back,1 in.x 4 in. Double-Sided Command Adhesive Strip Heavy Duty  4.4 out of 5 stars 4,643  9K+ bought in past month$6.59$6.59 List: $9.99$9.9910% coupon applied at checkoutSave 10%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","6.","4,643","4.4 out of 5 stars"
"13"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  DGTANGYIN 25Pcs bobbins for Sewing Machine, Sa156 Bobbins Plastic Bobbins with Case for Brother, Bro-Ther, Singer, Sewing Machine Accessories  4.1 out of 5 stars 4  $5.55$5.55FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","5.","4","4.1 out of 5 stars"
"14"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Quilting Gifts Sewing Gifts Sewing Room Decor Quilting Supplies Sewing Products Crochet Gifts Birthday Christmas Gifts Wooden Box Sign for Home Office Bedroom Living Room Desk Table Decoration  50+ bought in past month$12.99$12.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","12.","50+ bought in past month",""
"15"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Lightweight Fusible Interfacing for Sewing 11.8 Inch x 54.7 Yard Iron-On Non-Woven Fusible Interfacing White Polyester Single-Sided Interfacing for DIY Crafts Supplies  4.6 out of 5 stars 3  $15.99$15.995% coupon applied at checkoutSave 5%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","15.","3","4.6 out of 5 stars"
"16"," 9Pcs Tshirt-Ruler Guide to Center Vinyl, Transparent V-Neck/Round PVC Ruler for Alignment, Heat Press, Children Youth Adult, Front and Back Measurement (10in)  4.6 out of 5 stars 4,729  9K+ bought in past month$7.99$7.9920% coupon applied at checkoutSave 20%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsPrice may vary by color","7.","4,729","4.6 out of 5 stars"
