"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"ametaphysicalshark","27 June 2008","Who says popular films are not and cannot be art? If anything is proof that popular films can be of a stunningly high quality, the beauty of the animation, writing, music, and sound design in ""WALL·E"" is it. ""WALL·E"" eclipses even Andrew Stanton's ""Toy Story"" and ""Toy Story 2"" in the Pixar pantheon, is perhaps Pixar's best film to date and, call me crazy as I've just seen it, a contender for the title of best animated film, period.""WALL·E"" is everything we've come to expect from Pixar and more- colorful, vibrant, imaginative, exciting, involving, beautiful, and most importantly a film with interesting, involving characters. Sure, WALL·E is adorable, and as much credit as the animators get for that, this film would be nothing without Stanton's screenplay, which features very little dialogue but is still notably intelligent and surprisingly subtle, making a refreshing change from the 'go green' campaigns we're all so used to. Does ""WALL·E"" have a message? Sure, but it's an important message and it is delivered subtly and beautifully.""WALL·E"" operates on two levels (and works spectacularly well on both). It is a majestic science fiction epic like we haven't seen in a couple of decades and it is a genuinely touching and never cheap romance. ""WALL·E"" will never get points for originality but it doesn't exactly need them because the homages to great films and figures of the past- Chaplin, Keaton, Tati, the Marx Brothers, ""2001: A Space Odyssey"" (this one is particularly spectacular), ""Close Encounters of the Third Kind"" are actually homages and not ripoffs. ""WALL·E"" is a wonderful tribute to a bygone cinematic tradition (well, two or three of them actually). The social commentary in ""WALL·E"" is sobering because it's never overbearing and most importantly because we see the world through machines, machines who feel more about Earth and life than the humans do. The depiction of humans on the ship could have been incredibly offensive, cheap, and tasteless in concept but the execution here is absolutely perfect.What is most surprising about ""WALL·E"" is how sad it is. Not even in the 'how will they get out of this, oh I feel so sorry for them' way ""Finding Nemo"", a previous Stanton effort, is, but in a truly melancholy sense. The early portion of the film maintains all the playfulness of a Jacques Tati film but also evokes a striking and powerful feeling of loneliness. It's a brilliant introduction to WALL·E, given that the rest of the film is too wacky to bother with long scenes focused entirely on character, and works beautifully with the ugly yet beautifully-rendered future Earth, a barren wasteland filled with nothing but garbage, a seriously resilient cockroach being WALL·E's only companion before EVE shows up, but I won't go into the story- it's best you see it unfold for yourself.From the entertaining shorts shown before the film to the memorable characters, locations, and animation we have come to expect, Pixar films are now event cinema, and they have outdone themselves with ""WALL·E"". This film is spectacular, majestic, touching, involving, and achingly beautiful. Most importantly, however, it is perfect entertainment. I may be saying this too soon, but I don't think I have ever seen an animated film that has satisfied me more than ""WALL·E"", and 2008 is going to have to work hard to keep this from being the top film of the year, which it most certainly is at the moment.9.5/10","
            10/10
            "
"Iam-Not-In-Danger-Iam-The-Danger","15 February 2020","To this day, this is still my favorite pixar film. The animation is stellar, its heartwarming, funny and proves that pixar movies are always bound to be great (except for cars 2 but thats a different story). This has a shot at the title ""best movie of the century""","
            9/10
            "
"Smells_Like_Cheese","27 June 2008","I'm starting to wonder if there is bad Disney/Pixar film, I mean, normally when we think of the combo, it does equal gold, we automatically know that everyone is going to love this movie, it's just a matter of comparison to the other animation films. I'm not just saying this because I had a good time when I was watching this, I'm very serious, this is my favorite Disney/Pixar film. It's completely worth the ticket price, this couldn't have been a more perfect film. Everything about WALL·E is just beyond great: the characters, the story, and the incredible animation. But the thing that I loved about WALL·E is it's message, I know that it does go a little over board with the ""jog or get fat"", ""throw your garbage away"", and the ""we've become too dependent on machines"" message, but I felt this was the most charming way to present it to the children who have to grow up in a world where they're going to have to worry about global warming, this may open their eyes a little.WALL·E is a robot that is left all alone on Planet Earth, Earth is now covered with garbage. The humans have left onto a corporate ship and are living their lives care free and well, thought free. WALL·E has been collecting little human pieces here and there and making them into his treasures, but the one thing he really wants is a friend. One day a ship lands with a female robot, Eve, who WALL·E just adores, but Eve is on a mission to find a plant to bring back onto the human ship to show that Earth is safe. But when the ship grabs Eve, WALL·E follows her and discovers the mutiny that is afoot on the ship. Everyone is overweight, can't walk, can't think for themselves, and let's all the robots do all the work for them. But WALL·E and Eve are on the mission to get them back to Earth and give it a little love.WALL·E is seriously the best movie I have seen this summer, I just adored this movie, it has great laughs, cute jokes and is entertaining for the whole family. Like I said before, when it's Disney/Pixar you just can't go wrong. WALL·E is one of their most lovable characters ever and was like the robot version of Charlie Chaplin, he brought great slap stick to the story. This movie delivers everything you can imagine and much more, not to mention a great message. I highly recommend this movie for everyone, it's just a very wonderful movie that anyone can enjoy. The animation, I can't believe how far we've come, but this was a beautifully made movie and couldn't have been better. I loved WALL·E, this is a movie that will bring you plenty of laughs for your summer.10/10","
            10/10
            "
"Chrysanthepop","2 November 2008","Over the years I've become quite a sucker for Pixar movies and just love each and every one of them. While there are the states of the art animation and sound effects, the stories have heart. The characters are adorable yet real. It reminds one of those charming movies Disney used to make but Pixar films are very much a unique cinematic experience. 'WALL-E' is quite unusual compared to the previous Pixar movies. There's hardly any dialogue between the two protagonists other than saying each other's name. In fact, barely a word is spoken in the entire first half hour but WALL-E and Eve's silent and playful love story is such a joy to watch. Even though of few words, both characters have strong personalities and the character development is wonderfully done. The animation is colourful and vivid. Sound effect is amazing. The robot characters are cute and charming. The score deserve special mention as it's mesmerizing and beautiful. Andrew Stanton has done a terrific job as director and co-writer. The portrayal of WALL-E's loneliness and need for love is very well done and then the change that is brought within after the entrance of Eve and his eventual determination to rescue her is effectively shown. There are many genuinely funny and creative moments and it manages to stay away from being 'just plain silly'. The story is rich with humour, action, drama and adventure. Ben Burtt and Elissa Knight do a fabulous job with the voice acting for WALL-E and Eve. John Ratzenberger, Kathy Najimy and Sigourney Weaver lend great support. While 'WALL-E' tells a magnificent love story it reminds us that Earth is our home and nothing can replace it. It's a joyous magical experience and another sure winner from Pixar.","
            9/10
            "
"TheLittleSongbird","1 December 2009","I heard mixed reviews on WALL-E, there were those who said it was magical, and those who said it was one of the most overrated movies ever. I will say I loved this movie, it is a truly beautiful movie. It could have done with being a tad longer perhaps, but essentially this is more than a movie with A List vocal talents, WALL-E has genuine heart and will definitely enchant children and any Pixar fan. All I will say is that I am sorry it took me such a long time to see it, I will admit I was differing whether I should see it or not. But I am glad I did. The animation is simply incredible, the whole film is wonderful to look at. The whole movie is done in a very sophisticated visual style, and the bright colours and sublime backgrounds were a delight to the eyes. The music is stunning, the orchestral themes are gorgeous but the song from Hello Dolly! was great and fitted in with the story well. Speaking of the story, it may seem thin to some, but it is a very simple heart warming one all the same with depth and poignancy. There are some very imaginative moments, such as the zero-gravity dance and the ride through space. The voice cast that includes Fred Willard, Sigourney Weaver and Pixar regular John Ratzenburger did an exceptional job, and all the characters were endearing. What made the movie was WALL-E himself, he has to be one of the most lovable and in-depth Pixar characters ever, and the writers create a very haunting atmosphere in the early scenes to match our little hero's isolation. All in all, brilliant, quite possibly one of the best films of 2008. 9.5/10 Bethany Cox","
            10/10
            "
"Sethtro","11 October 2020","Personal Rating: 10/10 (Outstanding)I still remember just how impactful this movie was on me when I saw it as a child. The visuals, storytelling, how it made you think. And 12 years later it still stands as one of the best movies Pixar has ever made, and truly a hallmark of animated films.The start of this movie. I could watch on an indefinite loop. The emotions you feel, the bond that grows between you and a robot in the introductory minutes, is storytelling at it's finest. No words have to be spoken and yet this movie world builds better than most 2-hour-long fantasy movies where the characters don't shut up.The visuals. The visuals in this movie are stunning, the way they direct the eye, immerse you in the world, make you laugh and make you cry, a huge credit to the artists who worked on this film. And also interestingly enough, to Roger Deakins, who contributed to the first 20 minutes of the film and to the animating team, as he consulted on how to light scenes, he's quoted saying ""the natural world that we live in just isn't as well-lit as your typical animated world."" So by darkening scenes, adding shadow and cutting the number of lights used, they added a huge layer of realism to WALL-E.The story, how you learn and feel about the characters (who the majority of are robots), the music, it's all superbly done. I can't think of anything I would change. But all this alone isn't what earns it the 10/10 rating, it's the themes, the tones, the way this ""for children"" movie makes you think, that earns my full respect.For the most part, humans choose what's convenient, sacrificing privacy, health, well being, relationships and the like for that. WALL-E showed that exact point like never before. It takes effort to overcome the norm, to work towards a goal, even when it's not rainbows and peaches when one is determined they can do amazing things. Which is why the ending of this movie isn't bleak, it's inspiring. (spoilers) Humans come back to earth because of one lonesome plant. But it's enough to give them hope, and determination, to work on transforming the planet. And that was just one of the themes explored beautifully. I already know I'll be watching this movie again, and again.Thanks for reading my review.""I didn't know we had a pool!""","
            10/10
            "
"seaview1","5 July 2008","Pixar has produced some of the best animation in the past decade with its computer-generated features (Toy Story, Monsters Inc., and Finding Nemo) that have been marked by strong story lines and vivid characters. The tradition continues in an impressive way with Wall-E. This deceptively simple tale is transformed by the emotional content told almost entirely through visuals. A polluted Earth has become uninhabitable for 700 years, and one of its only residents is Wall-E, a small robot whose solitary mission is to be a mobile, trash compactor. In his work, he also finds and collects trivial, odd artifacts of mankind's past such as a Rubik's cube. He comforts himself with an old video, Hello Dolly, and as he learns about humans and his yearning for love, it becomes his idyllic vision of happiness amid an insulated, dull existence. Along his travels, he comes across a unique find, a live plant! One day a spaceship lands and deposits a robot probe. Fascinated by this kindred machine, Wall-E follows and eventually befriends this unit known as Eve. Eve has a directive that will hopefully return humans to Earth if only it can sustain life, and Wall-E's plant figures immeasurably. Eve is returned to her mother ship with Wall-E frantically chasing after his newly found love. On a spaceship acting as a living city for its machine-dependent, overweight humans, little robots are not only the caregivers, but in control. Wall-E and Eve must figure a way to return the humans to earth and find happiness even if it means making the ultimate sacrifice.Wall-E's innocence and childlike wonder (think E.T.), as exemplified by how he introduces himself to everyone he meets, could almost have sprung from Steven Spielberg's imagination. It's in the small details that enrich Wall-E as a character. He brings to mind an amalgam of past robots like Star Wars' R2-D2 and the little robots in Silent Running, and his fears and joys are expressed through body language and squeals. When he shuts down each night to sleep, he rocks himself as a child would. He is clumsy around Eve, and when he takes her to his makeshift home of robot parts and paraphernalia, he is like a little kid. Ironically, he is the catalyst to bring the humans back home. Writer and director, Andrew Stanton (Finding Nemo), takes a huge risk by basing the film's premise almost entirely on a song from Hello Dolly. I can't think of an animated film that relied so much on visual storytelling. Even Fantasia and Allegro Non Troppo were collections of musical sequences not narrative features. In a way, this film is almost too sophisticated in its display and execution for little kids but is just right for adults. Remarkably, this is a tale with nary a spoken word by the principals. One has to think of silent films to approach this achievement. The operative word here is pathos like the best of Charlie Chaplin's little tramp and, amazingly, this film earns its stripes by emoting body language, action, and sound effects. Yet most of the characters aren't even human! Fred Willard has an amusing small role as the corporate president. Sigourney Weaver, as the ship's computer voice, is an inspired choice since, like Eve, she was a female hero (in the Alien movies) and had to deal with computer voices in those films. The animation is almost 3-D in its rich detail and simulated, fluid camera-work. The interior of the mother ship, the Axiom, is a futuristic view of a commercialized (think Blade Runner) city in space. Yes, it is a thinly veiled message for all those 'save the earth' and 'think green' people, but that never detracts from the main theme of saving humanity amid a touching love story. There are moments when you think a scene could have played out a bit better, but that is minor. It is likely that Wall-E's reputation will grow over time as a shining example of stretching the art form by challenging and trusting its audience. Bravo to the folks at Pixar for taking a chance and for entertaining and moving us.","
            10/10
            "
"buiredintime","27 June 2008","I can't say enough about how good this movie, that you probably haven't read, so I'm going to keep this short.This is the best thing out there in theater's right now, and might just be the best animated film of all time, whether you believe that or not, is your own opinion, but what Pixar has done here, can put companies like Dreamworks, Sony, and Blue sky to shame.Wall E also may go down as the most lovable character ever to grace the movie screen, I praise Ben Burtt and Andrew Stanton, and the people at Pixar for what they did, and will continue to do.This is why Pixar is the top studio in the world.10/10","
            10/10
            "
"claudio_carvalho","8 December 2008","In the Twentieth-Eighth Century, Earth is completely depleted and with the ecological system destroyed. The powerful corporation Buy N Large builds a huge spacecraft called Axiom and sends the entire civilization for a five-year cruise while trash collector robots called WALL-E (Waste Allocator Load Lifter  Earth) would clean the planet. However, the equipment fail and seven-hundred year later, only a single robot WALL-E is performing his duty. His only companion is a cockroach and his great entertainment is watching an old ""Hello Dolly"" videotape. When a spaceship lands on Earth out of the blue and leaves the probe Eve, WALL-E follows her and falls in love for Eve. After a hostile initial contact, the dangerous Eve gets close to WALL-E and he gives a small plant to her. Eve gets the plant and automatically sends a signal to the spaceship that returns and takes Eve back. However, the desperate WALL-E grabs on the hull and travels through the space chasing Eve until they reach Axiom and find a full automated facility crowded by lazy and fat human beings unable even of walking with their legs. The expectation of life on Earth brings hope to the Captain against the will and prime direction of the auto-pilot that organizes a mutiny on board.""WALL-E"" is one of the best animations I have ever seen, with adorable characters and a deep story, showing a possible scenario of the depletion of our planet caused by the lack of concern from the big corporations with the environment. In addition, there is the beautiful love story of WALL-E, the importance of small and forgotten things; a great nostalgia of the old times among many other message. The story is very well developed in spite of having very few dialogs. My vote is ten.Title (Brazil): ""WALL-E""","
            8/10
            "
"DrWetter","8 June 2008","I just returned from an advanced benefit screening of WALL*E, and I want to be careful not to spill too much regarding the movie. I had the added privilege of watching the film at Pixar, which in and of itself, was amazing.This picture is not a cartoon; it is a film. In fact, it even has the LOOK of film. One of my complaints of more recent 3-D/CG animated films (not from Pixar) is that they all seem to look the same... clean lines, crisp colors, and very ""virtual"", for lack of a better term. WALL*E transcends the typical look of CG animation, and has a true to life ""grit."" The creators at Pixar are true artists, and are indeed masters of their craft. Not only are they masters of the technology, they are masters of telling a story. WALL*E is no exception.The best way to describe the film is as a science fiction, comedy, dramatic love story. WALL*E, as a character, has dimension, personality, and heart... pretty impressive given that he is essentially a trash compactor. It is true that there is little dialogue in this feature, but I personally did not feel it detracted from the story at all.WALL*E is very much a different Pixar film from it's previous features. I will be curious to see how it is received by others, but in my opinion, I think Pixar has stayed true to itself, demonstrating a commitment to telling great stories and pushing the edge of technology to leave your jaw dropping! My most sincere compliments to Andrew Stanton, Jim Morris, John Lasseter, Ben Burtt, and all the creative forces at Pixar. Can't wait to see what the future brings...","
            10/10
            "
